binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,informative_2,multicollinearity 3,uniform corr 1,duplicate_1,target,outliers 1,uniform corr 2,multicollinearity 2,correlated w target 1,multicollinearity 4,random choice 2,pd qcut1,outliers 2,random label num 12,corr_feature_class,correlated w target 2,pd qcut3,random choice 7,multicollinearity 1,class,scaling_combined,random choice 4_North,random choice 4_South,random choice 4_West,random label num 3_label num lo 2,random label num 3_label num lo 3,semi_constant_1_q_const_0_1,semi_constant_1_q_const_0_2,semi_constant_2_q_const_0_1,semi_constant_2_q_const_0_2,pd qcut2_Q2,pd qcut2_Q3,pd qcut2_Q4
0,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.391,0.001,-0.6638599972813359,-2.0837925430312123,0.6819529123695407,-0.9991017824896424,-0.9042236742875387,2.3423975475801173,0.48047631434647914,0.636374039568029,-1.757146613537124,-2.5320573342646395,0,0,-1.1356883853384696,0.371,7.475795261895861,-8.93416247115247,0.176,0.411,0.8510561769260578,1.0,50949.729096945506,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.016,0.002,0.001,0.001,0.201,0.157,0.292,0.391,0.29,1.153596854135379,0.023968256074555876,0.8278040338543171,1.2466861830450993,2.324369783092482,-0.32176344313228306,0.4734361953863003,0.3695043582712126,-4.040639442089182,-0.10867083260340443,1,0,5.086810910065967,0.371,4.234909786726856,1.116667328170587,0.285,0.411,-0.6518469581663092,1.0,54388.14266882148,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.007,0.515,0.001,0.001,0.001,0.001,0.001,0.012,0.001,0.8593974662590766,-0.4817833794962837,0.22685084682498458,0.9627768269601935,1.7782165547025084,-0.48848839396016147,0.001138435800148231,-1.1029966639127886,2.7434628052671117,-0.14018998364262342,0,0,3.923221767436381,0.065,3.894061233072704,-2.1748520839393155,0.285,0.411,-1.0153735566661994,1.0,64159.581552264666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.011,0.001,2.0336452879154674,-0.2644287176682638,0.9786264459740627,-2.9574409509433037,5.451234575139656,-0.40351784575377186,0.9372387337045225,-0.9717156793196556,1.2157999597052382,0.023143049796320658,0,0,-5.090834890739975,0.371,3.653672777222418,-8.93416247115247,0.182,0.411,-1.4810692537413095,1.0,27407.8850003353,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.017,0.001,0.001,0.001,0.201,0.001,0.292,0.014,0.001,1.05944863351561,-0.23374419126275464,0.4547524249877043,1.1411652716579705,2.1539258469951807,-1.5624222993119343,0.6518845393589119,0.1942854732445512,-1.6232096863092962,-0.5367227638215737,1,0,2.807497184197778,0.371,2.170799409674072,-8.93416247115247,0.285,0.411,-0.1766564141479975,1.0,41408.49888565902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.001,0.515,0.001,0.001,0.001,0.001,0.001,0.391,0.001,2.399635889224372,-0.5191910306262111,0.742311864986916,2.485477863898728,4.626787069235546,0.229489829962808,0.9467103835845729,-0.04978696426108166,0.8491163361858292,-0.26405364191050756,0,1,2.338924084742379,0.059,-0.1861757283039407,3.6019523934418913,0.182,0.411,0.012589455093452256,1.0,29459.045777982978,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.009,0.515,0.001,0.001,0.201,0.157,0.292,0.391,0.29,-0.747560845179044,0.5754913832177024,0.00036058557742846167,-0.6479636736717482,-1.187224231921867,0.5542265755718203,0.1649692826207227,-1.150181152860583,1.1821465018944872,-3.027409840138269,1,0,1.9743370856732276,0.371,-0.9183184024179769,-3.2856965860732408,0.285,0.098,-1.2053101254028986,0.0,50555.899554477226,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.008,0.001,-0.8182224427035356,-0.19287678026331023,0.5018761980165019,-0.8922328125534437,-1.266374292198878,1.233597761382936,0.31685052087745724,0.8269192449845957,2.3454473679603605,0.8007609753542527,0,0,-0.2666920935598207,0.371,-0.5150670053649327,-2.0843379132342807,0.172,0.098,0.48007770340419426,0.0,58873.21255522826,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.004,0.515,0.001,0.001,0.001,0.001,0.002,0.013,0.001,-0.09154666780661158,0.8143088353394706,0.5289913204118947,-0.7273359834485558,0.24111056261580832,-2.0502801629908074,0.5884765090852376,1.0533868830261295,1.98757426799435,1.1970910515399136,1,0,2.1877582670158358,0.066,3.834554479878803,-8.93416247115247,0.176,0.411,0.6587041750499846,0.0,41200.73576264271,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.01,0.515,0.001,0.001,0.201,0.001,0.292,0.391,0.001,-1.8069333466532713,0.7107847991894244,0.2639676729518464,0.9753643211025785,-3.935564389564147,0.8536255464978378,0.001138435800148231,-1.5556688381554533,-2.5274149804256956,0.6289536970698839,1,0,1.0710947431391495,0.371,-3.7957269746670708,-5.589555667426122,0.092,0.411,-1.119195649120744,0.0,54458.528811446056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
